tool_name,object_name,principal_component_0,principal_component_1
stick,cube,2.5433999214163645,3.009894919309908
stick,sphere,-2.0492126856554007,3.009894919309908
stick,cylinder,-0.49418723576096424,3.009894919309908
l_stick,cube,2.5433999214163645,-0.846316041603109
l_stick,sphere,-2.0492126856554003,-0.846316041603109
l_stick,cylinder,-0.494187235760964,-0.846316041603109
bone,cube,2.543399921416365,-0.45099723409704107
bone,sphere,-2.0492126856554,-0.4509972340970411
bone,cylinder,-0.4941872357609637,-0.45099723409704107
umbrella,cube,2.5433999214163645,-1.7125816436097576
umbrella,sphere,-2.0492126856554007,-1.7125816436097576
umbrella,cylinder,-0.49418723576096435,-1.7125816436097576
fork,cube,2.5433999214163636,-1.7881930971078102
fork,sphere,-2.049212685655401,-1.7881930971078104
fork,cylinder,-0.4941872357609648,-1.7881930971078102
